[2016-04-07 20:46:00,416 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,419 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xadfcc4c>
[2016-04-07 20:46:00,424 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,425 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,427 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xaed3e2c>
[2016-04-07 20:46:00,432 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,433 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,434 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xaecafcc>
[2016-04-07 20:46:00,441 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,441 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,442 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xadca42c>
[2016-04-07 20:46:00,447 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,447 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,448 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xadcc1cc>
[2016-04-07 20:46:00,453 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,453 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,454 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xae0f36c>
[2016-04-07 20:46:00,459 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,460 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,461 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xadca42c>
[2016-04-07 20:46:00,466 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,466 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,468 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xadcc20c>
[2016-04-07 20:46:00,472 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,472 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,477 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xaf03eac>
[2016-04-07 20:46:00,483 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,484 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,493 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xaf931ac>
[2016-04-07 20:46:00,497 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,498 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,502 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xaee7f8c>
[2016-04-07 20:46:00,506 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,507 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,511 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xaf8bf0c>
[2016-04-07 20:46:00,517 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,517 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,528 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xaf9904c>
[2016-04-07 20:46:00,534 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,535 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,537 DEBUG txn.-1221031168 - MainThread] commit <zope.sqlalchemy.datamanager.SessionDataManager object at 0xada6f2c>
[2016-04-07 20:46:00,543 DEBUG txn.-1221031168 - MainThread] commit
[2016-04-07 20:46:00,543 DEBUG txn.-1221031168 - MainThread] new transaction
[2016-04-07 20:46:00,543 DEBUG txn.-1221031168 - MainThread] commit
